fold_id,train_size,test_size,accuracy,f1_binary,precision_binary,recall_binary,f1_macro,cohen_kappa
0,1500,63,0.5873015873015873,0.7346938775510204,0.6206896551724138,0.9,0.4030612244897959,-0.06779661016949157
1,1521,63,0.49206349206349204,0.6363636363636364,0.5283018867924528,0.8,0.3971291866028708,-0.09923664122137388
2,1542,63,0.5873015873015873,0.7346938775510204,0.5806451612903226,1.0,0.4030612244897959,0.04210526315789487
3,1563,63,0.7301587301587301,0.8089887640449438,0.8372093023255814,0.782608695652174,0.6747646522927422,0.3513022410660206
4,1584,63,0.2857142857142857,0.43037974683544306,0.8095238095238095,0.29310344827586204,0.23646646916240238,-0.11570247933884303
5,1605,63,0.06349206349206349,0.09230769230769231,1.0,0.04838709677419355,0.06254728877679698,0.0016116035455279176
6,1626,63,0.42857142857142855,0.5813953488372093,1.0,0.4098360655737705,0.34069767441860466,0.042229729729729604
7,1647,63,0.8888888888888888,0.9380530973451328,0.9137931034482759,0.9636363636363636,0.6997957794417972,0.4032476319350473
8,1668,63,0.746031746031746,0.8545454545454545,0.746031746031746,1.0,0.42727272727272725,0.0
9,1689,63,0.6349206349206349,0.7766990291262136,0.6349206349206349,1.0,0.3883495145631068,0.0
10,1710,63,0.42857142857142855,0.6,0.42857142857142855,1.0,0.3,0.0
11,1731,63,0.5079365079365079,0.6666666666666666,0.5,1.0,0.36363636363636365,0.03076923076923066
12,1752,63,0.6666666666666666,0.7741935483870968,0.6545454545454545,0.9473684210526315,0.5689149560117301,0.2120309708159619
13,1773,63,0.6349206349206349,0.7722772277227723,0.6610169491525424,0.9285714285714286,0.42613861386138613,-0.02985074626865658
