fold_id,train_size,test_size,accuracy,f1_binary,precision_binary,recall_binary,f1_macro,cohen_kappa
0,1500,63,0.8412698412698413,0.0,0.0,0.0,0.45689655172413796,0.0
1,1521,63,0.6507936507936508,0.0,0.0,0.0,0.3942307692307692,0.0
2,1542,63,0.5714285714285714,0.0,0.0,0.0,0.36363636363636365,0.0
3,1563,63,0.6666666666666666,0.0,0.0,0.0,0.4,0.0
4,1584,63,0.5396825396825397,0.0,0.0,0.0,0.35051546391752575,0.0
5,1605,63,0.5079365079365079,0.0,0.0,0.0,0.3368421052631579,0.0
6,1626,63,0.25396825396825395,0.0,0.0,0.0,0.20253164556962025,0.0
7,1647,63,0.5238095238095238,0.0,0.0,0.0,0.34375,0.0
8,1668,63,0.6190476190476191,0.42857142857142855,0.75,0.3,0.5714285714285714,0.2149532710280373
9,1689,63,0.7301587301587301,0.6666666666666666,0.5483870967741935,0.85,0.72,0.45717181956411557
10,1710,63,0.36507936507936506,0.4594594594594595,0.2982456140350877,1.0,0.34511434511434513,0.07488986784140972
11,1731,63,0.4603174603174603,0.2916666666666667,0.1794871794871795,0.7777777777777778,0.4278846153846154,0.07751937984496138
12,1752,63,0.7142857142857143,0.0,0.0,0.0,0.4166666666666667,-0.14545454545454528
13,1773,63,0.8253968253968254,0.5217391304347826,0.5454545454545454,0.5,0.7074715069649642,0.4151898734177215
14,1794,63,0.746031746031746,0.0,0.0,0.0,0.42727272727272725,0.0
15,1815,63,0.6031746031746031,0.0,0.0,0.0,0.37623762376237624,0.0
16,1836,63,0.4444444444444444,0.05405405405405406,1.0,0.027777777777777776,0.330397813543881,0.02390438247011961
17,1857,63,0.4444444444444444,0.0,0.0,0.0,0.3076923076923077,0.0
18,1878,63,0.49206349206349204,0.0,0.0,0.0,0.32978723404255317,0.0
19,1899,63,0.7619047619047619,0.0,0.0,0.0,0.43243243243243246,0.0
20,1920,63,0.7619047619047619,0.0,0.0,0.0,0.43243243243243246,0.0
21,1941,63,0.746031746031746,0.0,0.0,0.0,0.42727272727272725,0.0
22,1962,63,0.6825396825396826,0.0,0.0,0.0,0.4056603773584906,0.0
23,1983,63,0.6984126984126984,0.0,0.0,0.0,0.411214953271028,0.0
24,2004,63,0.7301587301587301,0.0,0.0,0.0,0.42201834862385323,0.0
25,2025,63,0.6190476190476191,0.2,0.23076923076923078,0.17647058823529413,0.475,-0.044198895027624197
26,2046,63,0.6031746031746031,0.0,0.0,0.0,0.37623762376237624,0.0
27,2067,63,0.5873015873015873,0.0,0.0,0.0,0.37,0.0
28,2088,63,0.36507936507936506,0.0,0.0,0.0,0.26744186046511625,0.0
29,2109,63,0.36507936507936506,0.047619047619047616,0.25,0.02631578947368421,0.2857142857142857,-0.07600341588385984
30,2130,63,0.47619047619047616,0.0,0.0,0.0,0.3225806451612903,0.0
31,2151,63,0.7301587301587301,0.0,0.0,0.0,0.42201834862385323,0.0
